CountryTerritory,Total Cases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,SeriousCritical
China,70542,2042,1765,100,10728,11272
Japan,414,76,1,,17,9
Singapore,75,3,,,19,5
Hong Kong,57,1,1,,2,7
Thailand,34,,,,14,2
S. Korea,29,1,,,9,
Malaysia,22,,,,8,
Taiwan,20,2,1,1,2,
Germany,16,,,,3,
Vietnam,16,,,,7,
Australia,15,,,,10,
USA,15,,,,3,
France,12,,1,,4,
Macao,10,,,,5,
U.A.E.,9,1,,,3,1
U.K.,9,,,,8,
Canada,8,,,,1,
Philippines,3,,1,,2,
Italy,3,,,,,2
India,3,,,,3,
Russia,2,,,,2,
Spain,2,,,,2,
Egypt,1,,,,,
Cambodia,1,,,,1,
Sweden,1,,,,,
Nepal,1,,,,1,
Belgium,1,,,,1,
Sri Lanka,1,,,,1,
Finland,1,,,,1,
Finland,1,,,,1,
