"Country
Other",Total Cases,"New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Serious
Critical"
China,75892,1316,2236,118,18673,12017
Diamond Princess,634,,2,,17,27
S. Korea,204,93,2,1,17,
Japan,108,14,1,,22,5
Singapore,86,1,,,47,5
Hong Kong,69,,2,,6,6
Thailand,35,,,,19,2
USA *,35,20,,,6,
Taiwan,26,2,1,,2,1
Malaysia,22,,,,17,
Australia,21,4,,,11,
Italy,19,15,,,1,7
Iran,18,13,4,2,,
Germany,16,,,,13,
Vietnam,16,,,,15,
France,12,,1,,7,
U.A.E.,11,2,,,3,1
Macao,10,,,,6,
Canada,9,1,,,3,
U.K.,9,,,,8,
Philippines,3,,1,,2,
India,3,,,,3,
Russia,2,,,,2,
Spain,2,,,,2,
Belgium,1,,,,1,
Cambodia,1,,,,1,
Egypt,1,,,,1,
Finland,1,,,,1,
Israel,1,1,,,,
Lebanon,1,1,,,,
Nepal,1,,,,1,
Sri Lanka,1,,,,1,
Sweden,1,,,,1,
Cambodia,1,,,,1,
Croatia,1,1,,,,
Egypt,1,,,,1,
Finland,1,,,,1,
Lebanon,1,,,,,
Nepal,1,,,,1,
Sri Lanka,1,,,,1,
Sweden,1,,,,,
Switzerland,1,1,,,,
