"Country\
Other",Total Cases,"New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Serious\
Critical"
China,77666,516,2664,72,27636,9126
S. Korea,977,144,11,3,22,6
Diamond Princess,691,,4,1,10,35
Italy,323,94,11,4,2,19
Japan,161,2,1,,23,7
Iran,95,34,16,4,25,
Singapore,91,1,,,58,7
Hong Kong,85,4,2,,18,6
USA,57,4,,,6,
Thailand,37,2,,,21,2
Taiwan,31,1,1,,5,1
Bahrain,23,21,,,,
Australia,22,,,,15,
Malaysia,22,,,,20,
Germany,17,1,,,14,
Vietnam,16,,,,16,
France,14,2,1,,11,
U.K.,13,,,,8,
U.A.E.,13,,,,3,2
Canada,11,,,,3,
Macao,10,,,,5,
Kuwait,9,4,,,,
Spain,6,3,,,2,
Iraq,5,4,,,,
Oman,4,2,,,,
Philippines,3,,1,,2,
India,3,,,,3,
Austria,2,2,,,,
Israel,2,,,,,
Russia,2,,,,2,
Afghanistan,1,,,,,
Algeria,1,1,,,,
Belgium,1,,,,1,
Cambodia,1,,,,1,
Croatia,1,1,,,,
Egypt,1,,,,1,
Finland,1,,,,1,
Lebanon,1,,,,,
Nepal,1,,,,1,
Sri Lanka,1,,,,1,
Sweden,1,,,,,
Switzerland,1,1,,,,
