Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,TotalRecovered,Serious/Critical
China,80559,150,3042,30,23588,53929,5737
S. Korea,6593,309,42,,6416,135,52
Italy,3858,,148,,3296,414,351
Iran,3513,,108,,2666,739,
Diamond Princess,696,,6,,478,212,34
Germany,555,10,,,538,17,8
France,423,,7,,404,12,23
Japan,381,17,6,,332,43,29
Spain,329,47,3,,323,3,7
USA,233,12,14,2,210,9,8
Switzerland,132,12,1,,128,3,
Singapore,117,,,,36,81,7
UK,116,,1,,97,18,
Hong Kong,105,,2,,66,37,6
Norway,101,7,,,100,1,
Sweden,101,7,,,100,1,
Malaysia,83,28,,,61,22,
Netherlands,82,,1,1,81,,1
Australia,60,,2,,36,22,1
Kuwait,58,,,,58,,
Bahrain,55,,,,51,4,
Belgium,50,,,,49,1,1
Canada,48,11,,,40,8,1
Thailand,47,,1,,15,31,1
Austria,47,4,,,45,2,1
Taiwan,44,,1,,28,15,
Iraq,40,,3,,37,,
Iceland,37,2,,,37,,
Greece,31,,,,31,,
India,31,1,,,28,3,
UAE,28,,,,23,5,2
San Marino,21,,1,,20,,3
Denmark,20,,,,19,1,
Algeria,17,,,,17,,
Israel,17,,,,15,2,
Lebanon,16,,,,16,,1
Oman,16,,,,14,2,
Vietnam,16,,,,0,16,
Finland,15,3,,,14,1,
Ecuador,13,,,,13,,1
Ireland,13,,,,13,,
Czechia,12,,,,12,,
Macao,10,,,,1,9,
Croatia,10,,,,10,,
Estonia,10,5,,,10,,
Georgia,9,,,,9,,1
Portugal,9,,,,9,,
Brazil,8,,,,8,,
Qatar,8,,,,8,,
Romania,7,1,,,4,3,
Palestine,7,,,,7,,
Azerbaijan,6,,,,6,,
Belarus,6,,,,6,,
Mexico,6,,,,5,1,
Pakistan,6,1,,,6,,
Slovenia,6,,,,6,,
Philippines,5,2,1,,2,2,1
Saudi Arabia,5,,,,4,1,
Indonesia,4,2,,,4,,
New Zealand,4,,,,4,,
Russia,4,,,,2,2,
Senegal,4,,,,4,,
Chile,4,,,,4,,
Hungary,4,,,,4,,
Egypt,3,,,,2,1,
Luxembourg,2,,,,2,,
Morocco,2,,,,2,,1
Argentina,2,,,,2,,
Bosnia and Herzegovina,2,,,,2,,
Afghanistan,1,,,,1,,
Andorra,1,,,,1,,
Armenia,1,,,,1,,
Cambodia,1,,,,0,1,
Dominican Republic,1,,,,1,,
Jordan,1,,,,1,,
Latvia,1,,,,0,1,
Lithuania,1,,,,1,,
North Macedonia,1,,,,1,,
Monaco,1,,,,1,,
Nepal,1,,,,0,1,
Nigeria,1,,,,1,,
Sri Lanka,1,,,,0,1,
Tunisia,1,,,,1,,
Ukraine,1,,,,1,,
Bhutan,1,1,,,1,,
Cameroon,1,1,,,1,,
Costa Rica,1,,,,1,,
Gibraltar,1,,,,1,,
Holy See,1,1,,,1,,
Liechtenstein,1,,,,1,,
Poland,1,,,,1,,
Serbia,1,1,,,1,,
South Africa,1,,,,1,,
