Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,Tot Cases/1M pop
China,80739,44,3120,23,58721,18898,5111,56.1
S. Korea,7478,165,53,3,166,7259,36,145.9
Italy,7375,,366,,622,6387,650,122.0
Iran,7161,595,237,43,2394,4530,,85.3
France,1209,,19,,12,1178,45,18.5
Germany,1151,111,,,18,1133,9,13.7
Spain,911,237,17,,32,862,11,19.5
Diamond Princess,696,,7,,245,444,32,
USA,554,13,22,,15,517,8,1.7
Japan,502,,7,,76,419,30,4.0
Switzerland,332,,2,,3,327,,38.4
UK,280,2,3,,18,259,,4.1
Netherlands,265,,3,,,262,1,15.5
Belgium,239,39,,,1,238,1,20.6
Sweden,204,1,,,1,203,,20.2
Norway,178,2,,,1,177,,32.8
Singapore,150,,,,90,60,9,25.6
Malaysia,117,18,,,24,93,2,3.6
Hong Kong,115,,3,,59,53,6,15.3
Austria,112,8,,,2,110,1,12.4
Bahrain,109,24,,,14,95,,64.1
Australia,93,10,3,,22,68,1,3.6
Greece,73,,,,,73,1,7.0
Canada,67,1,,,8,59,1,1.8
Iraq,65,,6,,1,58,,1.6
Kuwait,65,1,,,1,64,3,15.2
Iceland,58,,,,1,57,,
Egypt,55,,1,,1,53,,0.5
Thailand,50,,1,,33,16,1,0.7
Taiwan,45,,1,,15,29,,1.9
UAE,45,,,,7,38,2,4.5
India,43,3,,,4,39,,
Israel,39,,,,4,35,1,4.5
San Marino,36,,1,,,35,5,
Denmark,35,,,,1,34,,6.0
Czechia,32,,,,,32,,3.0
Lebanon,32,,,,1,31,3,4.7
Portugal,31,1,,,,31,,3.0
Finland,30,5,,,1,29,,5.4
Vietnam,30,,,,16,14,,0.3
Brazil,25,,,,,25,1,0.1
Ireland,21,,,,,21,,4.3
Philippines,20,10,1,,2,17,1,0.2
Algeria,20,,,,,20,,0.5
Palestine,20,1,,,,20,,3.9
Qatar,18,3,,,,18,,6.2
Russia,17,,,,3,14,,0.1
Oman,16,,,,2,14,,3.1
Slovenia,16,,,,,16,,7.7
Ecuador,15,1,,,,15,1,0.9
Georgia,15,2,,,,15,1,3.8
Romania,15,,,,5,10,,0.8
Saudi Arabia,15,4,,,1,14,,0.4
Poland,15,4,,,,15,1,0.4
Argentina,12,,1,,,11,,0.3
Croatia,12,,,,,12,,2.9
Macao,10,,,,10,0,,
Estonia,10,,,,,10,,7.5
Chile,10,,,,,10,,0.5
Azerbaijan,9,,,,,9,,0.9
Costa Rica,9,,,,,9,1,1.8
Hungary,9,2,,,,9,,0.9
Mexico,7,,,,1,6,1,0.1
Pakistan,7,,,,1,6,,
Peru,7,,,,,7,,0.2
Belarus,6,,,,,6,,0.6
Indonesia,6,,,,,6,,
Latvia,6,3,,,1,5,,3.2
Slovakia,6,1,,,,6,,1.1
Dominican Republic,5,,,,,5,,0.5
Luxembourg,5,,,,,5,,
New Zealand,5,,,,,5,,1.0
French Guiana,5,,,,,5,,
Afghanistan,4,,,,,4,,0.1
Senegal,4,,,,1,3,,0.2
Bulgaria,4,,,,,4,,0.6
Maldives,4,,,,,4,,
North Macedonia,3,,,,,3,,1.4
Bangladesh,3,,,,,3,,
Bosnia and Herzegovina,3,,,,,3,,0.9
Malta,3,,,,,3,,
South Africa,3,,,,,3,,0.1
Cambodia,2,,,,1,1,,0.1
Morocco,2,,,,,2,1,0.1
Nigeria,2,1,,,,2,,
Tunisia,2,,,,,2,,0.2
Albania,2,,,,,2,,0.7
Cameroon,2,,,,,2,,0.1
Faeroe Islands,2,,,,,2,,
Martinique,2,,,,,2,,
Saint Martin,2,,,,,2,,
Andorra,1,,,,,1,,
Armenia,1,,,,,1,,0.3
Jordan,1,,,,,1,,0.1
Lithuania,1,,,,,1,,0.4
Monaco,1,,,,,1,,
Nepal,1,,,,1,0,,
Sri Lanka,1,,,,1,0,,
Ukraine,1,,,,,1,,
Bhutan,1,,,,,1,,
Colombia,1,,,,,1,,
Gibraltar,1,,,,1,0,,
Vatican City,1,,,,,1,,
Liechtenstein,1,,,,,1,,
Moldova,1,,,,,1,,0.2
Paraguay,1,,,,,1,,0.1
St. Barth,1,,,,,1,,
Serbia,1,,,,,1,,0.1
Togo,1,,,,,1,,0.1
