Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
China,80967,39,3248,3,71150,6569,2136,56
Italy,41035,,3405,,4440,33190,2498,679
Iran,18407,,1284,,5979,11144,,219
Spain,18077,,831,,1107,16139,939,387
Germany,15439,119,44,,115,15280,2,184
USA,14366,577,217,10,125,14024,64,43
France,10995,,372,,1295,9328,1122,168
S. Korea,8652,87,94,3,2233,6325,59,169
Switzerland,4222,,43,,15,4164,,488
UK,3269,,144,,65,3060,20,48
Netherlands,2460,,76,,2,2382,45,144
Austria,2203,24,6,,9,2188,13,245
Belgium,1795,,21,,165,1609,130,155
Norway,1794,4,7,,1,1786,27,331
Sweden,1452,13,11,,16,1425,21,144
Denmark,1226,75,9,3,1,1216,30,212
Japan,963,20,33,,215,715,49,8
Malaysia,915,15,2,,75,838,16,28
Australia,876,120,7,,46,823,2,34
Canada,873,,12,,11,850,1,23
Portugal,786,,4,,4,778,20,77
Czechia,774,80,,,3,771,6,72
Diamond Princess,712,,7,,527,178,14,
Israel,677,,,,14,663,6,78
Brazil,647,7,7,,2,638,18,3
Ireland,557,,3,,5,549,6,113
Luxembourg,484,149,4,,6,474,1,773
Greece,464,,6,,19,439,16,45
Qatar,460,,,,10,450,6,160
Pakistan,456,2,3,1,13,440,,2
Finland,400,,,,10,390,2,72
Indonesia,369,60,32,7,17,320,,1
Poland,367,12,5,,13,349,3,10
Turkey,359,,4,,,355,,4
Singapore,345,,,,124,221,14,59
Chile,342,,,,,342,6,18
Iceland,330,,,,5,325,1,967
Thailand,322,50,1,,42,279,1,5
Slovenia,319,,1,,,318,6,153
Estonia,283,16,,,1,282,1,213
Bahrain,279,,1,,110,168,4,164
Romania,277,,,,25,252,5,14
Saudi Arabia,274,,,,8,266,,8
Ecuador,260,,4,1,1,255,2,15
Egypt,256,,7,,42,207,,3
Hong Kong,256,48,4,,98,154,4,34
Peru,234,,3,2,1,230,7,7
Philippines,230,13,18,1,8,204,1,2
India,206,12,5,1,20,181,,0.1
Russia,199,,1,,9,189,,1
Iraq,192,,13,,49,130,,5
Mexico,164,46,1,,4,159,1,1
Kuwait,159,11,,,22,137,5,37
Lebanon,158,1,4,,4,150,3,23
South Africa,150,,,,,150,,3
San Marino,144,,14,,4,126,12,4244
UAE,140,,,,31,109,2,14
Panama,137,,1,,1,135,7,32
Armenia,136,14,,,1,135,2,46
Taiwan,135,27,2,1,28,105,,6
Argentina,128,,3,,3,122,,3
Colombia,128,20,,,1,127,,3
Slovakia,124,,,,,124,2,23
Serbia,118,15,,,2,116,4,14
Croatia,113,3,1,,5,107,,28
Bulgaria,112,5,3,,,109,,16
Latvia,111,25,,,1,110,,59
Uruguay,94,15,,,,94,,27
Algeria,90,,10,1,32,48,,2
Costa Rica,89,2,2,1,,87,2,17
Vietnam,87,2,,,16,71,,0.9
Hungary,85,12,1,,7,77,6,9
Faeroe Islands,80,8,,,2,78,,1637
Andorra,74,,,,1,73,,958
Brunei,73,,,,,73,2,167
Belarus,69,18,,,15,54,,7
Jordan,69,,,,1,68,,7
Bosnia and Herzegovina,69,5,,,2,67,,21
Cyprus,67,,,,,67,1,55
Morocco,66,3,3,1,2,61,1,2
Sri Lanka,65,5,,,3,62,,3
Albania,64,,2,,,62,2,22
Malta,53,,,,2,51,,120
Tunisia,50,11,1,,1,48,2,4
North Macedonia,50,,,,1,49,1,24
Moldova,49,,1,,1,47,3,12
Kazakhstan,49,5,,,,49,,3
Lithuania,48,,,,1,47,1,18
Oman,48,,,,13,35,,9
Cambodia,47,10,,,1,46,,3
Palestine,47,,,,,47,,9
Guadeloupe,45,12,,,,45,,112
Azerbaijan,44,,1,,7,36,,4
Georgia,43,3,,,1,42,1,11
Venezuela,42,,,,,42,,1
New Zealand,39,11,,,,39,,8
Senegal,36,,,,2,34,,2
Dominican Republic,34,,2,,,32,,3
Burkina Faso,33,,1,,,32,,2
Uzbekistan,33,10,,,,33,,1.0
Martinique,32,9,1,,,31,7,85
Liechtenstein,28,,,,,28,,734
Runion,28,,,,,28,,31
Ukraine,26,,3,,,23,,0.6
Afghanistan,24,2,,,1,23,,0.6
Honduras,24,12,,,,24,,2
Cameroon,20,7,,,2,18,,0.8
Bangladesh,18,,1,,3,14,,0.1
DRC,18,4,,,,18,,0.2
Macao,17,,,,10,7,,26
Bolivia,17,2,,,,17,,1
Cuba,16,5,1,,,15,,1
Jamaica,16,1,1,,2,13,,5
French Guiana,15,,,,,15,,50
Guam,14,2,,,,14,,83
Maldives,13,,,,,13,,24
