Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,1stcase
USA,104256,130,1704,8,2525,100027,2494,315,5,Jan 20
Italy,86498,,9134,,10950,66414,3732,1431,151,Jan 29
Spain,65719,,5138,,9357,51224,4165,1406,110,Jan 30
Germany,50871,,351,,6658,43862,1581,607,4,Jan 26
France,32964,,1995,,5700,25269,3787,505,31,Jan 23
Iran,32332,,2378,,11133,18821,2893,385,28,Feb 18
UK,14543,,759,,135,13649,163,214,11,Jan 30
Switzerland,12928,,231,,1530,11167,203,1494,27,Feb 24
S. Korea,9478,146,144,5,4811,4523,59,185,3,Jan 19
Netherlands,8603,,546,,3,8054,761,502,32,Feb 26
Austria,7697,,58,,225,7414,128,855,6,Feb 24
Belgium,7284,,289,,858,6137,690,628,25,Feb 03
Turkey,5698,,92,,42,5564,241,68,1,Mar 09
Canada,4757,,55,,354,4348,120,126,1,Jan 24
Portugal,4268,,76,,43,4149,71,419,7,Mar 01
Norway,3771,,19,,7,3745,70,696,4,Feb 25
Australia,3573,195,14,1,170,3389,23,140,0.5,Jan 24
Brazil,3477,60,93,1,6,3378,296,16,0.4,Feb 24
Sweden,3069,,105,,16,2948,214,304,10,Jan 30
Israel,3035,,12,,79,2944,49,351,1,Feb 20
Czechia,2279,,9,,11,2259,34,213,0.8,Feb 29
Malaysia,2161,,26,,259,1876,54,67,0.8,Jan 24
Ireland,2121,,22,,5,2094,59,430,4,Feb 28
Denmark,2046,,52,,1,1993,109,353,9,Feb 26
Ecuador,1627,,41,,3,1583,58,92,2,Feb 28
Chile,1610,,5,,43,1562,7,84,0.3,Mar 02
Luxembourg,1605,,15,,40,1550,25,2564,24,Feb 28
Japan,1499,,49,,372,1078,56,12,0.4,Jan 14
Poland,1389,,16,,7,1366,3,37,0.4,Mar 03
Pakistan,1373,,11,,23,1339,7,6,0.05,Feb 25
Romania,1292,,26,,115,1151,32,67,1,Feb 25
Thailand,1245,109,6,1,97,1142,11,18,0.09,Jan 12
South Africa,1170,,1,,31,1138,7,20,0.02,Mar 04
Saudi Arabia,1104,,3,,35,1066,6,32,0.09,Mar 01
Indonesia,1046,,87,,46,913,,4,0.3,Mar 01
Finland,1041,,7,,10,1024,32,188,1,Jan 28
Russia,1036,,4,,45,987,8,7,0.03,Jan 30
Greece,966,,28,,52,886,66,93,3,Feb 25
India,902,15,20,,83,799,,0.7,0.01,Jan 29
Iceland,890,,2,,97,791,18,2608,6,Feb 27
Philippines,803,,54,,31,718,1,7,0.5,Jan 29
Panama,786,,14,,2,770,20,182,3,Mar 09
Singapore,732,,2,,183,547,17,125,0.3,Jan 22
Mexico,717,132,12,4,4,701,1,6,0.09,Feb 27
Diamond Princess,712,,10,,597,105,15,,,Feb 04
Argentina,690,101,17,4,72,601,,15,0.4,Mar 02
Peru,635,,11,,16,608,21,19,0.3,Mar 05
Slovenia,632,,9,,10,613,14,304,4,Mar 03
Croatia,586,,3,,37,546,14,143,0.7,Feb 24
Dominican Republic,581,,20,,3,558,,54,2,Feb 29
Estonia,575,,1,,11,563,7,433,0.8,Feb 26
Qatar,562,,,,43,519,6,195,,Feb 28
Colombia,539,,6,,10,523,,11,0.1,Mar 05
Egypt,536,,30,,116,390,,5,0.3,Feb 13
Serbia,528,,8,,42,478,25,60,0.9,Mar 05
Hong Kong,519,,4,,111,404,5,69,0.5,Jan 22
Bahrain,466,,4,,227,235,1,274,2,Feb 23
Iraq,458,,40,,122,296,,11,1.0,Feb 21
New Zealand,451,83,,,50,401,2,94,,Feb 27
Algeria,409,,26,,29,354,,9,0.6,Feb 24
UAE,405,,2,,52,351,2,41,0.2,Jan 28
Lebanon,391,,8,,27,356,3,57,1,Feb 20
Lithuania,358,,5,,1,352,2,132,2,Feb 27
Morocco,345,,23,,11,311,1,9,0.6,Mar 01
Armenia,329,,1,,28,300,6,111,0.3,Feb 29
Ukraine,310,,5,,5,300,,7,0.1,Mar 02
Hungary,300,,10,,34,256,6,31,1,Mar 03
Bulgaria,293,,3,,9,281,8,42,0.4,Mar 06
Latvia,280,,,,1,279,,148,,Mar 01
Uruguay,274,36,,,,274,8,79,,Mar 12
Slovakia,269,,,,2,267,1,49,,Mar 05
Andorra,267,,3,,1,263,11,3456,39,Mar 01
Taiwan,267,,2,,30,235,,11,0.08,Jan 20
Costa Rica,263,,2,,3,258,5,52,0.4,Mar 04
Bosnia and Herzegovina,237,,4,,5,228,1,72,1,Mar 04
Jordan,235,,1,,18,216,,23,0.10,Mar 01
Tunisia,227,,7,,2,218,10,19,0.6,Mar 01
Kuwait,225,,,,57,168,11,53,,Feb 23
San Marino,223,,21,,6,196,15,6572,619,Feb 26
North Macedonia,219,,3,,3,213,1,105,1,Feb 25
Moldova,199,,2,,2,195,33,49,0.5,Mar 06
Albania,186,,8,,31,147,3,65,3,Mar 07
Burkina Faso,180,,9,,12,159,,9,0.4,Mar 08
Vietnam,169,6,,,20,149,3,2,,Jan 22
Azerbaijan,165,,3,,15,147,6,16,0.3,Feb 27
Cyprus,162,,5,,15,142,3,134,4,Mar 08
Kazakhstan,150,,1,,3,146,,8,0.05,Mar 12
Runion,145,,,,1,144,,162,,Mar 10
Faeroe Islands,144,,,,54,90,2,2947,,Mar 03
Malta,139,,,,2,137,1,315,,Mar 06
Ghana,137,,4,,2,131,1,4,0.1,Mar 11
Oman,131,,,,23,108,,26,,Feb 23
Senegal,119,,,,11,108,,7,,Mar 01
Brunei,115,,1,1,11,103,1,263,2,Mar 08
Venezuela,113,,2,,31,80,2,4,0.07,Mar 12
Afghanistan,110,,4,,2,104,,3,0.1,Feb 23
Sri Lanka,106,,,,7,99,5,5,,Jan 26
Uzbekistan,104,16,2,1,5,97,8,3,0.06,Mar 14
Ivory Coast,101,,,,3,98,,4,,Mar 10
Cambodia,99,,,,13,86,1,6,,Jan 26
Honduras,95,27,1,,3,91,4,10,0.1,Mar 10
Mauritius,94,,2,,,92,1,74,2,Mar 17
Belarus,94,,,,32,62,2,10,,Feb 27
Martinique,93,,1,,,92,12,248,3,Mar 04
Cameroon,91,,2,,2,87,,3,0.08,Mar 05
Palestine,91,,1,,17,73,,18,0.2,Mar 04
Channel Islands,88,,1,,,87,,506,6,Mar 08
Georgia,83,,,,14,69,1,21,,Feb 25
Montenegro,82,,1,,,81,1,131,2,Mar 16
Cuba,80,,2,,4,74,2,7,0.2,Mar 10
