Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,Reported1st case
USA,142737,277,2489,5,4562,135686,2970,431,8,Jan 20
Italy,97689,,10779,,13030,73880,3906,1616,178,Jan 29
Spain,85195,5085,7340,537,16780,61075,4165,1822,157,Jan 30
Germany,62435,,541,,9211,52683,1979,745,6,Jan 26
France,40174,,2606,,7202,30366,4632,615,40,Jan 23
Iran,38309,,2640,,12391,23278,3206,456,31,Feb 18
UK,19522,,1228,,135,18159,163,288,18,Jan 30
Switzerland,15069,240,312,12,1823,12934,301,1741,36,Feb 24
Belgium,11899,1063,513,82,1527,9859,927,1027,44,Feb 03
Netherlands,10866,,771,,250,9845,972,634,45,Feb 26
S. Korea,9661,78,158,6,5228,4275,59,188,3,Jan 19
Turkey,9217,,131,,105,8981,568,109,2,Mar 09
Austria,8958,170,86,,479,8393,187,995,10,Feb 24
Canada,6320,,65,,573,5682,120,167,2,Jan 24
Portugal,5962,,119,,43,5800,89,585,12,Mar 01
Israel,4347,100,16,1,134,4197,80,502,2,Feb 20
Norway,4312,28,29,3,7,4276,91,795,5,Feb 25
Brazil,4256,,136,,6,4114,296,20,0.6,Feb 24
Australia,4245,82,18,1,244,3983,28,166,0.7,Jan 24
Sweden,3700,,110,,16,3574,281,366,11,Jan 30
Czechia,2859,42,17,1,11,2831,45,267,2,Feb 29
Malaysia,2626,156,37,2,479,2110,94,81,1,Jan 24
Ireland,2615,,46,,5,2564,59,530,9,Feb 28
Denmark,2555,160,72,,1,2482,113,441,12,Feb 26
Chile,2139,,7,,75,2057,7,112,0.4,Mar 02
Luxembourg,1950,,21,,40,1889,25,3115,34,Feb 28
Ecuador,1924,,58,,3,1863,58,109,3,Feb 28
Poland,1905,43,26,4,7,1872,3,50,0.7,Mar 03
Japan,1866,,54,,424,1388,56,15,0.4,Jan 14
Russia,1836,302,9,1,66,1761,8,13,0.06,Jan 30
Romania,1815,,44,1,206,1565,31,94,2,Feb 25
Pakistan,1625,28,18,4,29,1578,11,7,0.08,Feb 25
Philippines,1546,128,78,7,42,1426,1,14,0.7,Jan 29
Thailand,1524,136,9,2,229,1286,11,22,0.1,Jan 12
Indonesia,1414,129,122,8,75,1217,,5,0.4,Mar 01
Finland,1343,103,11,,10,1322,32,242,2,Jan 28
Saudi Arabia,1299,,8,,66,1225,12,37,0.2,Mar 01
South Africa,1280,,2,,31,1247,7,22,0.03,Mar 04
Greece,1156,,39,,52,1065,66,111,4,Feb 25
India,1071,47,29,2,100,942,,0.8,0.02,Jan 29
Iceland,1020,,2,,135,883,25,2989,6,Feb 27
Mexico,993,145,20,4,35,938,1,8,0.2,Feb 27
Panama,989,,24,,4,961,36,229,6,Mar 09
Dominican Republic,859,,39,,3,817,,79,4,Feb 29
Peru,852,,18,,16,818,40,26,0.5,Mar 05
Singapore,844,,3,,212,629,19,144,0.5,Jan 22
Argentina,820,,20,,91,709,,18,0.4,Mar 02
Slovenia,756,26,11,,10,735,28,364,5,Mar 03
Serbia,741,,13,,42,686,25,85,1,Mar 05
Estonia,715,36,3,,20,692,10,539,2,Feb 26
Croatia,713,,6,,55,652,26,174,1,Feb 24
Diamond Princess,712,,10,,603,99,15,,,Feb 04
Colombia,702,,10,,10,682,29,14,0.2,Mar 05
Hong Kong,642,,4,,118,520,5,86,0.5,Jan 22
Qatar,634,,1,,48,585,6,220,0.3,Feb 28
Egypt,609,,40,,132,437,,6,0.4,Feb 13
New Zealand,589,75,1,,63,525,2,122,0.2,Feb 27
UAE,570,,3,,58,509,2,58,0.3,Jan 28
Iraq,547,,42,,143,362,,14,1,Feb 21
Morocco,516,37,27,1,13,476,1,14,0.7,Mar 01
Bahrain,515,16,4,,279,232,2,303,2,Feb 23
Algeria,511,,31,,31,449,,12,0.7,Feb 24
Lithuania,484,24,7,,1,476,2,178,3,Feb 27
Armenia,482,58,3,,30,449,15,163,1,Feb 29
Ukraine,475,,10,,6,459,,11,0.2,Mar 02
Hungary,447,39,15,2,34,398,6,46,2,Mar 03
Lebanon,446,8,11,1,32,403,3,65,2,Feb 20
Latvia,376,29,,,1,375,3,199,,Mar 01
Bulgaria,354,8,8,,15,331,13,51,1,Mar 06
Bosnia and Herzegovina,340,17,6,,8,326,1,104,2,Mar 04
Andorra,334,,6,,6,322,10,4323,78,Mar 01
Costa Rica,314,,2,,3,309,6,62,0.4,Mar 04
Slovakia,314,,,,2,312,1,58,,Mar 05
Tunisia,312,,8,,2,302,10,26,0.7,Mar 01
Taiwan,306,8,5,2,39,262,,13,0.2,Jan 20
Uruguay,304,,1,,,303,9,88,0.3,Mar 12
Kazakhstan,294,10,1,,20,273,,16,0.05,Mar 12
Kuwait,266,11,,,72,194,13,62,,Feb 23
Moldova,263,,2,,13,248,33,65,0.5,Mar 06
North Macedonia,259,,6,,3,250,1,124,3,Feb 25
Jordan,259,,3,,18,238,3,25,0.3,Mar 01
San Marino,224,,22,,6,196,16,6602,648,Feb 26
Albania,223,11,11,1,44,168,7,77,4,Mar 07
Burkina Faso,222,,12,,23,187,,11,0.6,Mar 08
Cyprus,214,,6,,15,193,3,177,5,Mar 08
Azerbaijan,209,,4,,15,190,23,21,0.4,Feb 27
Vietnam,194,,,,52,142,3,2,,Jan 22
Runion,183,,,,1,182,,204,,Mar 10
Oman,167,,,,23,144,3,33,,Feb 23
Ivory Coast,165,,1,,4,160,,6,0.04,Mar 10
Faeroe Islands,159,,,,70,89,1,3254,,Mar 03
Ghana,152,,5,,2,145,1,5,0.2,Mar 11
Malta,151,,,,2,149,4,342,,Mar 06
Uzbekistan,144,,2,,7,135,8,4,0.06,Mar 14
Senegal,142,,,,27,115,,8,,Mar 01
Cameroon,139,,6,,5,128,,5,0.2,Mar 05
Cuba,139,,3,,4,132,2,12,0.3,Mar 10
Honduras,139,29,3,,3,133,4,14,0.3,Mar 10
Brunei,127,1,1,,38,88,3,290,2,Mar 08
Afghanistan,120,,4,,2,114,,3,0.1,Feb 23
Sri Lanka,120,3,1,,15,104,5,6,0.05,Jan 26
Venezuela,119,,3,,39,77,6,4,0.1,Mar 12
Palestine,115,6,1,,18,96,,23,0.2,Mar 04
Nigeria,111,,1,,3,107,,0.5,0.00,Feb 27
Mauritius,110,3,3,,,107,1,86,2,Mar 17
Channel Islands,108,,2,,,106,,621,12,Mar 08
Cambodia,107,4,,,21,86,1,6,,Jan 26
Guadeloupe,106,,4,,17,85,10,265,10,Mar 12
Georgia,98,7,,,18,80,1,25,,Feb 25
Bolivia,96,15,1,,,95,3,8,0.09,Mar 09
Belarus,94,,,,32,62,2,10,,Feb 27
Kyrgyzstan,94,10,,,,94,,14,,Mar 17
Martinique,93,,1,,,92,12,248,3,Mar 04
Montenegro,91,6,1,,,90,1,145,2,Mar 16
DRC,81,,8,,2,71,,0.9,0.09,Mar 09
Trinidad and Tobago,78,,3,,1,74,,56,2,Mar 11
Rwanda,70,,,,,70,,5,,Mar 13
Gibraltar,65,,,,14,51,,1929,,Mar 02
Paraguay,64,5,3,,1,60,3,9,0.4,Mar 06
Mayotte,63,,,,,63,,231,,Mar 13
Liechtenstein,56,,,,,56,,1469,,Mar 02
Aruba,50,,,,1,49,,468,,Mar 12
Bangladesh,49,1,5,,19,25,1,0.3,0.03,Mar 07
Monaco,46,,1,,1,44,,1172,25,Feb 27
Isle of Man,46,4,,,,46,,541,,Mar 18
French Guiana,43,,,,6,37,,144,,Mar 06
Kenya,42,,1,,1,40,2,0.8,0.02,Mar 12
Madagascar,39,,,,,39,,1,,Mar 19
Macao,38,1,,,10,28,,59,,Jan 21
Guatemala,34,,1,,10,23,1,2,0.06,Mar 12
Barbados,33,,,,,33,,115,,Mar 16
Uganda,33,,,,,33,,0.7,,Mar 20
Jamaica,32,,1,,2,29,,11,0.3,Mar 09
Togo,30,5,1,,1,28,,4,0.1,Mar 05
El Salvador,30,6,,,,30,,5,,Mar 18
French Polynesia,30,,,,,30,,107,,Mar 10
Zambia,29,,,,,29,,2,,Mar 17
Ethiopia,23,2,,,1,22,,0.2,,Mar 12
Bermuda,22,,,,2,20,,353,,Mar 17
Congo,19,,,,,19,,3,,Mar 14
Mali,18,,1,,,17,,0.9,0.05,Mar 24
Niger,18,,1,,,17,,0.7,0.04,Mar 18
Djibouti,18,,,,,18,,18,,Mar 17
Maldives,17,,,,13,4,,31,,Mar 06
Guinea,16,,,,,16,,1,,Mar 12
Haiti,15,,,,1,14,,1,,Mar 19
New Caledonia,15,,,,,15,,53,,Mar 17
Bahamas,14,,,,1,13,,36,,Mar 14
Tanzania,14,,,,1,13,,0.2,,Mar 15
Cayman Islands,12,,1,,,11,,183,15,Mar 12
Equatorial Guinea,12,,,,,12,,9,,Mar 13
Eritrea,12,,,,,12,,3,,Mar 20
Mongolia,12,,,,2,10,,4,,Mar 09
Dominica,11,,,,,11,,153,,Mar 21
Namibia,11,,,,2,9,,4,,Mar 13
Saint Martin,11,,,,,11,,284,,Feb 29
Greenland,10,,,,2,8,,176,,Mar 15
Myanmar,10,,,,,10,,0.2,,Mar 22
Syria,9,,1,,,8,,0.5,0.06,Mar 21
Grenada,9,,,,,9,,80,,Mar 21
Saint Lucia,9,,,,1,8,,49,,Mar 12
Eswatini,9,,,,,9,,8,,Mar 13
Curaao,8,,1,,2,5,,49,6,Mar 12
Guyana,8,,1,,,7,,10,1,Mar 11
Laos,8,,,,,8,,1,,Mar 23
Libya,8,,,,,8,,1,,Mar 23
Mozambique,8,,,,,8,,0.3,,Mar 21
Seychelles,8,,,,,8,,81,,Mar 13
Suriname,8,,,,,8,,14,,Mar 12
Angola,7,,2,,,5,,0.2,0.06,Mar 19
Gabon,7,,1,,,6,,3,0.4,Mar 12
Zimbabwe,7,,1,,,6,,0.5,0.07,Mar 19
Antigua and Barbuda,7,,,,,7,,71,,Mar 12
Cabo Verde,6,,1,,,5,,11,2,Mar 19
Sudan,6,,1,,,5,,0.1,0.02,Mar 12
Benin,6,,,,,6,,0.5,,Mar 15
Vatican City,6,,,,,6,,7491,,Mar 05
Sint Maarten,6,,,,,6,,140,,Mar 17
Nepal,5,,,,1,4,,0.2,,Jan 23
Fiji,5,,,,,5,,6,,Mar 18
Mauritania,5,,,,2,3,,1,,Mar 12
Montserrat,5,,,,,5,,1002,,Mar 17
St. Barth,5,,,,,5,,506,,Feb 29
