Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop"
World,1431689,770,82074,40,302142,1047473,47891,184,10.5,,
USA,400412,77,12854,13,21674,365884,9169,1210,39,2075739,6271
Spain,141942,,14045,,43208,84689,7069,3036,300,355000,7593
Italy,135586,,17127,,24392,94067,3792,2243,283,755445,12495
France,109069,,10328,,19337,79404,7131,1671,158,224254,3436
Germany,107663,,2016,,36081,69566,4895,1285,24,918460,10962
Iran,62589,,3872,,27039,31678,3987,745,46,211136,2514
UK,55242,,6159,,135,48948,1559,814,91,266694,3929
Turkey,34109,,725,,1582,31802,1474,404,9,228868,2714
Switzerland,22253,,821,,8704,12728,391,2571,95,167429,19346
Belgium,22194,,2035,,4157,16002,1260,1915,176,80512,6947
Netherlands,19580,,2101,,250,17229,1424,1143,123,86589,5053
Canada,17897,,381,,4028,13488,426,474,10,346507,9181
Brazil,14034,,686,,127,13221,296,66,3,54824,258
Austria,12639,,243,,4046,8350,243,1403,27,115235,12795
Portugal,12442,,345,,184,11913,271,1220,34,121256,11892
S. Korea,10384,53,200,8,6776,3408,55,203,4,477304,9310
Israel,9248,,65,,770,8413,149,1068,8,117339,13557
Sweden,7693,,591,,205,6897,640,762,59,54700,5416
Russia,7497,,58,,494,6945,8,51,0.4,795000,5448
Norway,6086,,89,,32,5965,78,1123,16,113896,21009
Australia,5988,,49,,2547,3392,93,235,2,310700,12184
Ireland,5709,,210,,25,5474,165,1156,43,42484,8604
India,5351,,160,,468,4723,,4,0.1,140293,102
Chile,5116,,43,,898,4175,337,268,2,57122,2988
Denmark,5071,,203,,1491,3377,127,875,35,58419,10086
Czechia,5017,,88,,172,4757,86,468,8,91247,8521
Poland,4848,,129,,191,4528,50,128,3,92215,2437
Romania,4417,,197,,460,3760,274,230,10,43578,2265
Japan,4257,,93,,622,3542,80,34,0.7,55311,437
Pakistan,4035,,57,,429,3549,28,18,0.3,39183,177
Ecuador,3995,,220,,140,3635,156,226,12,14406,817
Malaysia,3963,,63,,1321,2579,92,122,2,55566,1717
Philippines,3764,,177,,84,3503,1,34,2,22958,210
Luxembourg,2970,,44,,500,2426,35,4745,70,25702,41059
Peru,2954,,107,,1301,1546,109,90,3,21555,654
Saudi Arabia,2795,,41,,615,2139,41,80,1,,
Mexico,2785,346,141,16,633,2011,89,22,1,20475,159
Indonesia,2738,,221,,204,2313,,10,0.8,14354,52
Serbia,2447,,61,,118,2268,109,280,7,9626,1102
UAE,2359,,12,,186,2161,1,239,1,220000,22244
Finland,2308,,34,,300,1974,81,417,6,34900,6299
Thailand,2258,,27,,888,1343,61,32,0.4,71860,1030
Panama,2249,149,55,,16,2178,88,521,13,10297,2386
Qatar,2057,,6,,150,1901,37,714,2,41818,14515
Dominican Republic,1956,,98,,36,1822,147,180,9,4542,419
Greece,1832,,81,,269,1482,90,176,8,28584,2742
Colombia,1780,,50,,100,1630,76,35,1.0,30445,598
South Africa,1749,,13,,95,1641,7,29,0.2,58098,980
Argentina,1715,,60,,338,1317,96,38,1,11778,261
Iceland,1586,,6,,559,1021,11,4648,18,28991,84957
Singapore,1481,,6,,377,1098,29,253,1,65000,11110
Algeria,1468,,193,,113,1162,46,33,4,3359,77
Ukraine,1462,,45,,28,1389,16,33,1,6385,146
Egypt,1450,,94,,276,1080,,14,0.9,25000,244
Croatia,1282,,18,,167,1097,35,312,4,12322,3002
New Zealand,1210,50,1,,282,927,4,251,0.2,46875,9721
Morocco,1184,,90,,93,1001,1,32,2,5437,147
Estonia,1149,,21,,69,1059,12,866,16,23546,17750
Iraq,1122,,65,,373,684,,28,2,26331,655
Slovenia,1059,,36,,102,921,30,509,17,29455,14168
Moldova,1056,,22,,40,994,80,262,5,5108,1266
Hong Kong,936,,4,,236,696,12,125,0.5,96709,12900
Lithuania,880,,15,,8,857,11,323,6,27807,10215
Belarus,861,,13,,54,794,31,91,1,43000,4551
Armenia,853,,8,,87,758,30,288,3,5140,1735
Hungary,817,,47,,71,699,17,85,5,23746,2458
Bahrain,811,,5,,458,348,4,477,3,47684,28023
Bosnia and Herzegovina,764,,33,,68,663,4,233,10,6911,2106
Kuwait,743,,1,,105,637,23,174,0.2,,
Azerbaijan,717,,8,,44,665,23,71,0.8,53300,5257
Diamond Princess,712,,11,,619,82,10,,,,
Kazakhstan,697,,6,,51,640,16,37,0.3,54767,2917
Cameroon,685,,9,,60,616,,26,0.3,,
Tunisia,623,,23,,25,575,39,53,2,8274,700
North Macedonia,599,,26,,30,543,15,288,12,5879,2822
Slovakia,581,,2,,13,566,3,106,0.4,17639,3231
Bulgaria,577,,23,,42,512,21,83,3,15899,2288
Lebanon,548,,19,,62,467,29,80,3,10221,1497
Latvia,548,,2,,16,530,5,291,1,22575,11969
Andorra,545,,22,,39,484,17,7054,285,1673,21653
Uzbekistan,520,,2,,30,488,8,16,0.06,,
Cyprus,494,,9,,47,438,13,409,7,13017,10781
Costa Rica,483,,2,,24,457,14,95,0.4,5525,1085
Uruguay,424,,7,,150,267,14,122,2,5727,1649
Afghanistan,423,,14,,18,391,,11,0.4,,
Cuba,396,,11,,27,358,15,35,1.0,7054,623
Burkina Faso,384,,19,,127,238,,18,0.9,,
Albania,383,,22,,131,230,7,133,8,2753,957
Taiwan,376,,5,,61,310,,16,0.2,40702,1709
Oman,371,,2,,67,302,3,73,0.4,,
Runion,358,,,,40,318,4,400,,,
Jordan,353,,6,,138,209,5,35,0.6,17000,1666
Ivory Coast,349,,3,,41,305,,13,0.1,,
Channel Islands,335,,7,,34,294,,1927,40,1157,6655
Honduras,312,7,22,,6,284,10,32,2,,
Malta,293,,,,5,288,4,664,,10923,24738
Ghana,287,,5,,31,251,2,9,0.2,,
San Marino,279,,34,,40,205,14,8223,1002,586,17270
Niger,278,,11,,26,241,,11,0.5,4199,173
Mauritius,268,,7,,8,253,3,211,6,4913,3863
Palestine,261,,1,,42,218,,51,0.2,15140,2968
Nigeria,254,,6,,44,204,2,1,0.03,5000,24
Vietnam,251,,,,123,128,8,3,,106399,1093
Montenegro,241,,2,,4,235,7,384,3,2014,3207
Senegal,237,,2,,105,130,1,14,0.1,,
Kyrgyzstan,228,,4,,33,191,5,35,0.6,9618,1474
Bolivia,210,16,15,1,2,193,3,18,1,591,51
Georgia,196,,3,,46,147,6,49,0.8,2762,692
Sri Lanka,185,,6,,42,137,5,9,0.3,3248,152
Faeroe Islands,184,,,,120,64,2,3766,,5035,103043
DRC,180,,18,,9,153,,2,0.2,,
Kenya,172,,6,,7,159,2,3,0.1,4973,92
Mayotte,171,,2,,22,147,3,627,7,1100,4032
Venezuela,166,,7,,65,94,6,6,0.2,1779,63
Bangladesh,164,,17,,33,114,1,1.0,0.1,4289,26
Martinique,152,,4,,50,98,20,405,11,,
Isle of Man,150,,1,,73,76,6,1764,12,1669,19628
Guinea,144,,,,5,139,,11,,,
Guadeloupe,139,,7,,31,101,14,347,17,,
Brunei,135,,1,,85,49,3,309,2,8845,20218
Paraguay,119,4,5,,15,99,1,17,0.7,2039,286
Cambodia,115,,,,58,57,1,7,,5768,345
Gibraltar,113,,,,60,53,,3354,,1440,42741
Trinidad and Tobago,107,,8,,1,98,,76,6,878,627
Rwanda,105,,,,7,98,,8,,806,62
Djibouti,90,,,,9,81,,91,,2229,2256
Madagascar,88,,,,7,81,6,3,,,
Guatemala,80,3,3,,17,60,3,4,0.2,1134,63
Monaco,79,,1,,4,74,4,2013,25,,
El Salvador,78,,4,,5,69,4,12,0.6,,
Liechtenstein,78,,1,,55,22,,2046,26,900,23605
French Guiana,77,,,,34,43,1,258,,,
Aruba,74,,,,14,60,,693,,954,8935
Togo,65,,3,,23,39,,8,0.4,1617,195
Barbados,63,,3,,6,54,4,219,10,557,1938
Jamaica,63,,3,,9,51,,21,1,540,182
Mali,56,,5,,12,39,,3,0.2,,
Ethiopia,52,,2,,4,46,1,0.5,0.02,2271,20
Uganda,52,,,,,52,,1,,3310,72
French Polynesia,47,,,,,47,,167,,694,2471
Congo,45,,5,,2,38,,8,0.9,,
Cayman Islands,45,,1,,6,38,,685,15,479,7288
Macao,44,,,,10,34,1,68,,,
Sint Maarten,40,,6,,1,33,2,933,140,112,2612
Bermuda,39,,2,,17,20,,626,32,306,4913
Zambia,39,,1,,7,31,,2,0.05,619,34
Bahamas,36,3,6,,5,25,1,92,15,,
Guyana,33,,5,,8,20,4,42,6,132,168
Guinea-Bissau,33,,,,,33,,17,,,
Saint Martin,32,,2,,7,23,6,828,52,,
Eritrea,31,,,,,31,,9,,,
Gabon,30,,1,,1,28,,13,0.4,,
Benin,26,,1,,5,20,,2,0.08,,
Haiti,25,,1,,,24,,2,0.09,257,23
Tanzania,24,,1,,5,18,,0.4,0.02,,
Myanmar,22,,1,,,21,,0.4,0.02,1246,23
Libya,20,,1,,1,18,,3,0.1,326,47
Syria,19,,2,,3,14,,1,0.1,,
Antigua and Barbuda,19,,1,,,18,1,194,10,40,408
Maldives,19,,,,13,6,,35,,,
New Caledonia,18,,,,1,17,,63,,2320,8126
Angola,17,,2,,2,13,,0.5,0.06,,
Equatorial Guinea,16,,,,3,13,,11,,854,609
Namibia,16,,,,3,13,,6,,362,142
Dominica,15,,,,1,14,,208,,293,4070
Fiji,15,,,,,15,,17,,,
Mongolia,15,,,,4,11,,5,,,
Liberia,14,,3,,3,8,,3,0.6,,
Sudan,14,,2,,2,10,,0.3,0.05,,
Laos,14,,,,,14,,2,,765,105
Saint Lucia,14,,,,1,13,,76,,,
Curaao,13,,1,,7,5,,79,6,,
Grenada,12,,,,,12,2,107,,45,400
Zimbabwe,11,,2,,,9,,0.7,0.1,371,25
Greenland,11,,,,10,1,,194,,752,13246
Saint Kitts and Nevis,11,,,,,11,,207,,183,3440
Seychelles,11,,,,,11,,112,,,
Suriname,10,,1,,,9,,17,2,,
Chad,10,,,,2,8,,0.6,,,
Mozambique,10,,,,1,9,,0.3,,424,14
Eswatini,10,,,,4,6,,9,,,
MS Zaandam,9,,2,,,7,,,,,
Nepal,9,,,,1,8,,0.3,,1890,65
Montserrat,9,,,,,9,1,1803,,36,7212
Malawi,8,,1,,,7,1,0.4,0.05,,
Turks and Caicos,8,,1,,,7,,207,26,61,1576
CAR,8,,,,,8,,2,,,
St. Vincent Grenadines,8,,,,1,7,,72,,56,505
Somalia,8,,,,1,7,,0.5,,,
Belize,7,,1,,,6,1,18,3,268,674
Cabo Verde,7,,1,,1,5,,13,2,,
Vatican City,7,,,,,7,,8739,,,
Botswana,6,,1,,,5,,3,0.4,1154,491
Mauritania,6,,1,,2,3,,1,0.2,67,14
Nicaragua,6,,1,,,5,,0.9,0.2,,
St. Barth,6,,,,1,5,,607,,,
Sierra Leone,6,,,,,6,,0.8,,,
Bhutan,5,,,,2,3,,6,,1166,1511
Gambia,4,,1,,2,1,,2,0.4,,
Sao Tome and Principe,4,,,,,4,,18,,19,87
Western Sahara,4,,,,,4,,7,,,
Anguilla,3,,,,,3,,200,,,
British Virgin Islands,3,,,,,3,,99,,,
Burundi,3,,,,,3,,0.3,,,
Caribbean Netherlands,2,,,,,2,,76,,10,381
Falkland Islands,2,,,,,2,,575,,,
Papua New Guinea,2,,,,,2,,0.2,,72,8
South Sudan,2,,,,,2,,0.2,,,
Saint Pierre Miquelon,1,,,,,1,,173,,,
Timor-Leste,1,,,,,1,,0.8,,,
China,81802,62,3333,2,77279,1190,189,57,2,,
