Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Continent
North America,1091906,1110,61634,85,169429,860843,15453,,,,,North America
Europe,1301271,,123997,,446464,730810,24907,,,,,Europe
Asia,483785,20,17589,1,236746,229450,5979,,,,,Asia
South America,144252,78,6733,3,51640,85879,9773,,,,,South America
Oceania,8298,8,103,1,6888,1307,46,,,,,Australia/Oceania
Africa,33992,1,1466,,10575,21951,138,,,,,Africa
,721,,15,,645,61,4,,,,,
World,3064225,1217,211537,90,922387,1930301,56300,393,27.1,,,All
USA,1010356,,56797,,138990,814569,14186,3052,172,5696928,17211,North America
Spain,229422,,23521,,120832,85069,7764,4907,503,1345560,28779,Europe
Italy,199414,,26977,,66624,105813,1956,3298,446,1789662,29600,Europe
France,165842,,23293,,45513,97036,4608,2541,357,463662,7103,Europe
Germany,158758,,6126,,114500,38132,2409,1895,73,2072669,24738,Europe
UK,157149,,21092,,N/A,135713,1559,2315,311,719910,10605,Europe
Turkey,112261,,2900,,33791,75570,1736,1331,34,918885,10895,Asia
Iran,91472,,5806,,70933,14733,3011,1089,69,432329,5147,Asia
Russia,87147,,794,,7346,79007,2300,597,5,3019434,20690,Europe
Brazil,66501,,4543,,31142,30816,8318,313,21,339552,1597,South America
Canada,48500,,2707,,18268,27525,557,1285,72,717451,19009,North America
Belgium,46687,,7207,,10878,28602,903,4028,622,214042,18468,Europe
Netherlands,38245,,4518,,N/A,33477,905,2232,264,193950,11319,Europe
India,29451,,939,,7137,21375,,21,0.7,665819,482,Asia
Switzerland,29164,,1665,,22200,5299,185,3370,192,245300,28343,Europe
Peru,28699,,782,,8425,19492,598,870,24,239563,7266,South America
Portugal,24027,,928,,1357,21742,176,2356,91,360155,35321,Europe
Ecuador,23240,,663,,1557,21020,146,1317,38,61529,3487,South America
Ireland,19648,,1102,,9233,9313,146,3979,223,127319,25785,Europe
Sweden,18926,,2274,,1005,15647,399,1874,225,94500,9357,Europe
Saudi Arabia,18811,,144,,2531,16136,117,540,4,200000,5745,Asia
Israel,15555,,204,,7200,8151,129,1797,24,302691,34971,Asia
Mexico,15529,852,1434,83,9086,5009,378,120,11,71103,551,North America
Austria,15274,,549,,12362,2363,140,1696,61,232537,25819,Europe
Singapore,14423,,14,,1095,13314,20,2465,2,121774,20815,Asia
Japan,14153,,385,,1899,11869,300,112,3,150692,1191,Asia
Pakistan,13915,,292,,3029,10594,111,63,1,150756,682,Asia
Chile,13813,,198,,7327,6288,426,723,10,161235,8434,South America
Poland,11902,,562,,2466,8874,160,314,15,297859,7870,Europe
Romania,11339,,641,,3141,7557,227,589,33,143834,7477,Europe
Belarus,11289,,75,,1740,9474,92,1195,8,153845,16281,Europe
Qatar,11244,,10,,1066,10168,72,3903,3,85709,29749,Asia
UAE,10839,,82,,2090,8667,1,1096,8,1057326,106904,Asia
S. Korea,10752,14,244,1,8854,1654,55,210,5,608514,11869,Asia
Indonesia,9096,,765,,1151,7180,,33,3,75157,275,Asia
Ukraine,9009,,220,,864,7925,110,206,5,93519,2138,Europe
Denmark,8698,,427,,5959,2312,72,1502,74,155810,26900,Europe
Serbia,8275,,162,,1209,6904,85,947,19,67917,7773,Europe
Philippines,7777,,511,,932,6334,31,71,5,89889,820,Asia
Norway,7599,,205,,32,7362,52,1402,38,164316,30310,Europe
Czechia,7445,,223,,2826,4396,73,695,21,218474,20401,Europe
Australia,6725,5,84,1,5602,1039,43,264,3,517063,20277,Australia/Oceania
Dominican Republic,6293,,282,,993,5018,144,580,26,22498,2074,North America
Panama,6021,242,167,2,455,5399,89,1395,39,27834,6451,North America
Bangladesh,5913,,152,,131,5630,1,36,0.9,50401,306,Asia
Malaysia,5820,,99,,3957,1764,37,180,3,144686,4470,Asia
Colombia,5597,,253,,1210,4134,118,110,5,90899,1786,South America
South Africa,4793,,90,,1473,3230,36,81,2,178470,3009,Africa
Egypt,4782,,337,,1236,3209,,47,3,90000,879,Africa
Finland,4695,,193,,2500,2002,56,847,35,82437,14878,Europe
Morocco,4120,,162,,695,3263,1,112,4,29254,793,Africa
Argentina,4003,,197,,1140,2666,144,89,4,51900,1148,South America
Luxembourg,3729,,88,,3123,518,20,5957,141,39102,62465,Europe
Algeria,3517,,432,,1558,1527,40,80,10,6500,148,Africa
Moldova,3481,,102,,925,2454,212,863,25,11763,2916,Europe
Kuwait,3288,,22,,1012,2254,64,770,5,179000,41915,Asia
Thailand,2931,,52,,2609,270,61,42,0.7,178083,2551,Asia
Kazakhstan,2835,,25,,720,2090,35,151,1,205560,10948,Asia
Bahrain,2723,,8,,1218,1497,2,1600,5,117374,68980,Asia
Hungary,2583,,280,,498,1805,61,267,29,65625,6793,Europe
Greece,2534,,136,,577,1821,43,243,13,66094,6341,Europe
Oman,2049,,10,,364,1675,3,401,2,,,Asia
Croatia,2039,,59,,1166,814,21,497,14,32817,7994,Europe
Uzbekistan,1904,,8,,892,1004,8,57,0.2,242536,7247,Asia
Iraq,1847,,88,,1286,473,,46,2,73782,1834,Asia
Armenia,1808,,29,,848,931,10,610,10,18547,6259,Asia
Iceland,1792,,10,,1624,158,1,5251,29,46377,135906,Europe
Cameroon,1705,,58,,805,842,12,64,2,,,Africa
Afghanistan,1703,,57,,220,1426,7,44,1,8694,223,Asia
Azerbaijan,1678,,22,,1162,494,15,165,2,128807,12704,Asia
Estonia,1647,,50,,233,1364,7,1242,38,48406,36491,Europe
Bosnia and Herzegovina,1565,,60,,659,846,4,477,18,26822,8175,Europe
Ghana,1550,,11,,155,1384,4,50,0.4,100622,3238,Africa
New Zealand,1472,3,19,,1214,239,1,305,4,126066,26143,Australia/Oceania
Lithuania,1449,,41,,474,934,17,532,15,106775,39223,Europe
Slovenia,1402,,83,,221,1098,22,674,40,49607,23862,Europe
North Macedonia,1399,,65,,553,781,13,672,31,15120,7257,Europe
Cuba,1389,,56,,525,808,12,123,5,39828,3516,North America
Slovakia,1381,,18,,403,960,7,253,3,74099,13572,Europe
Bulgaria,1363,,58,,206,1099,41,196,8,27000,3886,Europe
Nigeria,1337,,40,,255,1042,2,6,0.2,10918,53,Africa
Ivory Coast,1164,,14,,499,651,,44,0.5,,,Africa
Guinea,1163,,7,,246,910,,89,0.5,,,Africa
Hong Kong,1038,,4,,787,247,4,138,0.5,145640,19426,Asia
Djibouti,1035,,2,,477,556,,1048,2,12250,12399,Africa
Bolivia,1014,64,53,3,98,863,3,87,5,5791,496,South America
Tunisia,967,,39,,279,649,18,82,3,21081,1784,Africa
Cyprus,822,,15,,148,659,15,681,12,50220,41595,Asia
Latvia,818,,13,,267,538,5,434,7,49235,26103,Europe
Andorra,743,,40,,385,318,17,9616,518,1673,21653,Europe
Albania,736,,28,,422,286,4,256,10,7491,2603,Europe
Senegal,736,,9,,284,443,1,44,0.5,466,28,Africa
Diamond Princess,712,,13,,645,54,4,,,,,
Lebanon,710,,24,,145,541,44,104,4,29367,4303,Asia
Niger,701,,29,,385,287,,29,1,5013,207,Africa
