#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent
,North America,1628509,27653,99426,1754,399993,1129090,17305,,,,,,North America
,Europe,1740990,22317,160480,1412,739800,840710,12196,,,,,,Europe
,South America,394056,16867,20917,879,134032,239107,10263,,,,,,South America
,Asia,757828,18870,23946,354,431273,302609,4946,,,,,,Asia
,Africa,79072,2070,2630,52,29212,47230,288,,,,,,Africa
,Oceania,8621,31,119,,7858,644,19,,,,,,Australia/Oceania
,,721,,15,,651,55,4,,,,,,
,World,4609797,87808,307533,4451,1742819,2559445,45021,591,39.5,,,,All
1,USA,1480703,23110,88309,1397,321348,1071046,16145,4477,267,11003912,33269,330753490,North America
2,Spain,274367,1721,27459,138,188967,57941,1320,5868,587,2467761,52784,46752506,Europe
3,Russia,262843,10598,2418,113,58226,202199,2300,1801,17,6413948,43953,145926611,Europe
4,UK,236711,3560,33998,384,N/A,N/A,1559,3489,501,2353078,34686,67840351,Europe
5,Italy,223885,789,31610,242,120205,72070,808,3702,523,2875680,47553,60472892,Europe
6,Brazil,212198,9280,14455,462,79479,118264,8318,999,68,735224,3462,212364444,South America
7,France,179433,563,27529,104,60448,91456,2203,2750,422,1384633,21219,65255252,Europe
8,Germany,175678,703,7999,71,151700,15979,1294,2098,96,3147771,37585,83749935,Europe
9,Turkey,146457,1708,4055,48,106133,36269,944,1739,48,1547389,18373,84220162,Asia
10,Iran,116635,2102,6902,48,91836,17897,2727,1391,82,658604,7854,83850893,Asia
11,India,85784,3787,2753,104,30234,52797,,62,2,2039952,1480,1378233611,Asia
12,Peru,84495,3891,2392,125,27147,54956,842,2567,73,605383,18395,32910878,South America
13,Canada,74540,1139,5553,81,36747,32240,502,1977,147,1225049,32495,37699156,North America
14,Belgium,54644,356,8959,56,14301,31384,380,4718,773,645314,55711,11583189,Europe
15,Saudi Arabia,49176,2307,292,9,21869,27015,167,1415,8,530265,15263,34741400,Asia
16,Netherlands,43681,200,5643,53,N/A,N/A,378,2550,329,287943,16809,17130079,Europe
17,Mexico,42595,2409,4477,257,28475,9643,378,331,35,155932,1211,128755457,North America
18,Chile,39542,2502,394,26,16614,22534,584,2071,21,341347,17876,19094896,South America
19,Pakistan,37218,1430,803,33,10155,26260,111,169,4,344450,1563,220309834,Asia
20,Ecuador,31467,965,2594,256,3433,25440,197,1787,147,89817,5101,17607301,South America
21,Switzerland,30514,51,1878,6,27100,1536,69,3529,217,334274,38660,8646448,Europe
22,Qatar,29425,1153,14,,3546,25865,72,10237,5,148173,51547,2874514,Asia
23,Sweden,29207,625,3646,117,4971,20590,351,2894,361,177500,17590,10091169,Europe
24,Portugal,28583,264,1190,6,3328,24065,112,2802,117,600061,58827,10200387,Europe
25,Belarus,27730,958,156,5,8807,18767,92,2934,17,321705,34044,9449712,Europe
26,Singapore,26891,793,21,,7248,19622,18,4601,4,224262,38372,5844386,Asia
27,Ireland,23956,129,1518,12,19470,2968,69,4859,308,258808,52491,4930547,Europe
28,UAE,21831,747,210,2,7328,14293,1,2211,21,1560923,158074,9874659,Asia
29,Bangladesh,20065,1202,298,15,3882,15885,1,122,2,160512,976,164475123,Asia
30,Poland,18016,401,907,24,6918,10191,160,476,24,576276,15225,37851778,Europe
31,Ukraine,17330,483,476,20,4473,12381,225,396,11,211614,4835,43765842,Europe
32,Israel,16589,10,266,1,12587,3736,60,1921,31,485922,56258,8637437,Asia
33,Indonesia,16496,490,1076,33,3803,11617,,60,4,178602,654,273144953,Asia
34,Romania,16437,190,1070,17,9370,5997,219,854,56,294601,15301,19253316,Europe
35,Japan,16120,,697,,9868,5555,259,127,6,233144,1843,126524328,Asia
36,Austria,16109,51,628,2,14471,1010,47,1790,70,351351,39040,8999806,Europe
37,Colombia,13610,,525,,3358,9727,137,268,10,177050,3484,50811863,South America
38,South Africa,13524,785,247,9,6083,7194,119,228,4,421555,7120,59209961,Africa
39,Kuwait,12860,885,96,8,3640,9124,190,3017,23,236004,55372,4262156,Asia
40,Philippines,12091,215,806,16,2460,8825,77,111,7,191963,1755,109387948,Asia
41,Dominican Republic,11739,419,424,2,3557,7758,127,1084,39,50108,4625,10833701,North America
42,Egypt,11228,399,592,21,2799,7837,41,110,6,135000,1323,102072877,Africa
43,S. Korea,11018,27,260,,9821,937,55,215,5,726747,14177,51263639,Asia
44,Denmark,10791,78,537,,8959,1295,32,1864,93,368889,63716,5789609,Europe
45,Serbia,10438,64,225,1,4301,5912,20,1194,26,168670,19295,8741704,Europe
46,Panama,9118,174,260,4,6080,2778,72,2118,60,46898,10892,4305682,North America
47,Czechia,8374,23,295,2,5379,2700,37,782,28,342131,31956,10706473,Europe
48,Norway,8206,10,232,,32,7942,20,1515,43,216350,39948,5415755,Europe
49,Argentina,7134,,353,,2497,4284,170,158,8,96893,2146,45141794,South America
50,Australia,7019,30,98,,6337,584,17,276,4,983816,38640,25460983,Australia/Oceania
51,Malaysia,6855,36,112,,5439,1304,14,212,3,424306,13132,32311201,Asia
