#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
,North America,2427434,6336,143365,543,1038207,4007,1245862,19287,,,,,,North America,,,
,South America,1356208,764,57870,26,721175,30977,577163,12010,,,,,,South America,,,
,Europe,2183635,10057,182228,161,1154156,6322,847251,6725,,,,,,Europe,,,
,Asia,1553329,14664,38951,214,947740,12662,566638,15368,,,,,,Asia,,,
,Africa,228064,455,6085,5,105272,180,116707,524,,,,,,Africa,,,
,Oceania,8905,4,124,,8391,20,390,2,,,,,,Australia/Oceania,,,
,,721,,15,,651,,55,4,,,,,,,,,
,World,7758296,32280,428638,949,3975592,54168,3354066,53920,995,55.0,,,,All,,,
1,USA,2117027,105,116831,6,841936,2,1158260,16613,6398,353,23794382,71907,330906997,North America,156,2832,14
2,Brazil,829902,,41901,,427610,30918,360391,8318,3906,197,1476057,6947,212483982,South America,256,5071,144
3,Russia,520129,8706,6829,114,274641,5271,238659,2300,3564,47,14500000,99362,145931552,Europe,281,21369,10
4,India,309603,,8890,,154330,99,146383,8944,224,6,5507182,3993,1379307780,Asia,4455,155153,250
5,UK,292950,,41481,,N/A,N/A,N/A,492,4316,611,6434713,94811,67868549,Europe,232,1636,11
6,Spain,290289,,27136,,N/A,N/A,N/A,617,6209,580,4465338,95507,46753936,Europe,161,1723,10
7,Italy,236305,,34223,,173085,,28997,227,3908,566,4514441,74661,60465875,Europe,256,1767,13
8,Peru,220749,,6308,,107133,,107308,1089,6700,191,1315417,39925,32947280,South America,149,5223,25
9,Germany,187251,,8863,,171600,,6788,447,2235,106,4694147,56035,83771107,Europe,447,9452,18
10,Iran,182525,,8659,,144649,,29217,2739,2175,103,1196947,14260,83936074,Asia,460,9694,70
11,Turkey,175218,,4778,,149102,,21338,664,2079,57,2541903,30156,84292030,Asia,481,17642,33
12,Chile,160846,,2870,,131358,,26618,1689,8418,150,799776,41856,19107883,South America,119,6658,24
13,France,156287,,29374,,72572,,54341,879,2395,450,1384633,21215,65266664,Europe,418,2222,47
14,Mexico,139196,5222,16448,504,101767,3703,20981,378,1080,128,393714,3055,128862724,North America,926,7835,327
15,Pakistan,132405,6472,2551,88,50056,9809,79798,111,600,12,839019,3802,220650245,Asia,1666,86496,263
16,Saudi Arabia,119942,,893,,81029,,38020,1820,3448,26,1069636,30750,34784389,Asia,290,38952,33
17,Canada,97943,,8049,,58523,,31371,1929,2596,213,2072096,54926,37725348,North America,385,4687,18
18,Bangladesh,84379,2856,1139,44,17827,578,65413,1,513,7,489960,2977,164605029,Asia,1951,144517,336
19,Qatar,76588,,70,,53296,,23222,229,27277,25,280665,99959,2807805,Asia,37,40112,10
20,South Africa,61927,,1354,,35006,,25567,208,1045,23,1060425,17892,59269206,Africa,957,43773,56
21,Belgium,59918,99,9650,4,16547,49,33721,88,5171,833,1010059,87170,11587177,Europe,193,1201,11
22,Belarus,52520,,298,,27760,,24462,92,5558,32,697011,73762,9449466,Europe,180,31710,14
