#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,North America,45163767,8945,961890,307,36421454,17482,7780423,27545,,,,,,North America,,,,,,
,Asia,66462681,184185,973298,3110,61837191,179547,3652192,40627,,,,,,Asia,,,,,,
,South America,36321317,,1112965,,34051543,,1156809,24444,,,,,,South America,,,,,,
,Europe,53463537,39283,1152673,902,48410999,42413,3899865,9733,,,,,,Europe,,,,,,
,Africa,7363862,3612,184910,79,6468048,4635,710904,4871,,,,,,Africa,,,,,,
,Oceania,133147,1055,1809,12,94837,1305,36501,140,,,,,,Australia/Oceania,,,,,,
,,721,,15,,706,,0,0,,,,,,,,,,,,
,World,208909032,237080,4387560,4410,187284778,245382,17236694,107360,26801,562.9,,,,All,,,,,,
1,USA,37737361,375,638801,3,30227302,,6871258,20465,113263,1917,558144828,1675189,333183130,North America,9,522,1,1,0.01,20623
2,India,32250679,779,432112,,31448754,7494,369813,8944,23115,310,496629524,355947,1395235111,Asia,43,3229,3,0.6,,265
3,Brazil,20378986,,569581,,19255927,,553478,8318,95115,2658,56023684,261480,214256441,South America,11,376,4,,,2583
4,Russia,6642559,20958,172110,805,5918324,18407,552125,2300,45495,1179,172800000,1183523,146004820,Europe,22,848,1,144,6,3782
5,France,6476864,,112753,,5913362,,450749,1807,98980,1723,111773788,1708143,65435866,Europe,10,580,1,,,6888
6,UK,6295613,,130979,,4856841,,1307793,882,92194,1918,257623937,3772683,68286659,Europe,11,521,0,,,19152
7,Turkey,6096816,,53324,,5621646,,421846,633,71427,625,72091836,844585,85357657,Asia,14,1601,1,,,4942
8,Argentina,5088271,,109105,,4758128,,221038,3528,111435,2389,20794247,455401,45661395,South America,9,419,2,,,4841
9,Colombia,4870922,,123580,,4694808,,52534,8155,94596,2400,23444709,455311,51491615,South America,11,417,2,,,1020
10,Spain,4719266,,82595,,3986567,,650104,1931,100893,1766,59650532,1275261,46775140,Europe,10,566,1,,,13898
11,Iran,4517243,50228,99108,625,3786488,29331,631647,7424,53020,1163,27177565,318989,85199097,Asia,19,860,3,590,7,7414
12,Italy,4444338,,128456,,4187186,,128696,404,73628,2128,80680924,1336621,60361835,Europe,14,470,1,,,2132
13,Indonesia,3892479,20741,120013,1180,3414109,32225,358357,,14064,434,29680097,107237,276770024,Asia,71,2306,9,75,4,1295
14,Germany,3831806,,92384,,3684700,2700,54722,548,45571,1099,67658074,804639,84085033,Europe,22,910,1,,,651
15,Mexico,3108438,7172,248652,272,2454114,17304,405672,4798,23828,1906,9113592,69861,130453223,North America,42,525,14,55,2,3110
16,Poland,2885676,221,75306,7,2655543,102,154827,48,76341,1992,19255619,509408,37799994,Europe,13,502,2,6,0.2,4096
17,South Africa,2613569,,77440,,2382809,,153320,546,43453,1287,15633622,259921,60147661,Africa,23,777,4,,,2549
18,Ukraine,2267219,890,53296,27,2197508,433,16415,177,52194,1227,11699182,269330,43438073,Europe,19,815,4,20,0.6,378
19,Peru,2134365,,197487,,N/A,N/A,N/A,1545,63737,5897,16145785,482150,33487038,South America,16,170,2,,,6457
20,Netherlands,1906434,2306,17920,5,1780655,10129,107859,197,110984,1043,16254958,946294,17177489,Europe,9,959,1,134,0.3,6279
21,Iraq,1793372,8778,19815,75,1615773,10477,157784,1057,43494,481,13831134,335438,41233050,Asia,23,2081,3,213,2,3827
22,Philippines,1765675,10035,30462,96,1629426,10858,105787,2751,15876,274,17685200,159015,111217233,Asia,63,3651,6,90,0.9,951
23,Czechia,1676518,210,30376,,1643784,10,2358,15,156227,2831,34696312,3233184,10731314,Europe,6,353,0,20,,220
24,Chile,1629932,,36420,,1585995,,7517,966,84450,1887,19529037,1011844,19300450,South America,12,530,1,,,389
25,Canada,1455971,,26704,,1410095,,19172,212,38201,701,39453066,1035141,38113707,North America,26,1427,1,,,503
26,Malaysia,1444270,19631,13077,293,1179046,16468,252147,1054,43991,398,20642490,628745,32831244,Asia,23,2511,2,598,9,7680
27,Bangladesh,1433396,7535,24547,198,1314916,12950,93933,1387,8607,147,8480814,50926,166531216,Asia,116,6784,20,45,1,564
28,Japan,1159945,14854,15431,23,982640,14260,161874,1646,9203,122,19965179,158402,126040907,Asia,109,8168,6,118,0.2,1284
29,Belgium,1154879,1420,25299,3,1078126,2215,51454,147,99163,2172,18052658,1550077,11646300,Europe,10,460,1,122,0.3,4418
30,Sweden,1112958,,14622,,1080022,16,18314,32,109435,1438,11536406,1134356,10170004,Europe,9,696,1,,,1801
31,Pakistan,1105300,3221,24573,95,993304,4291,87423,4896,4897,109,16950196,75101,225697712,Asia,204,9185,13,14,0.4,387
32,Romania,1088053,544,34359,6,1050342,384,3352,126,56986,1800,11015953,576955,19093254,Europe,18,556,2,28,0.3,176
33,Portugal,1006588,2118,17584,11,945259,3666,43745,144,99042,1730,16203074,1594279,10163264,Europe,10,578,1,208,1,4304
34,Israel,951226,1691,6694,7,889209,1007,55323,559,101997,718,17849781,1913980,9326000,Asia,10,1393,1,181,0.8,5932
35,Thailand,948442,20128,7973,239,730437,20791,210032,5615,13550,114,8129670,116143,69996845,Asia,74,8779,9,288,3,3001
36,Hungary,810549,45,30042,1,768519,211,11988,11,84145,3119,6449264,669514,9632759,Europe,12,321,1,5,0.1,1245
37,Jordan,784631,,10222,,762521,,11888,649,76053,991,8840941,856943,10316839,Asia,13,1009,1,,,1152
38,Morocco,763353,,11119,,673116,,79118,1425,20410,297,8364983,223654,37401489,Africa,49,3364,4,,,2115
39,Switzerland,744106,3150,10928,1,697064,,36114,114,85277,1252,9409657,1078384,8725705,Europe,12,798,1,361,0.1,4139
40,Nepal,737294,2456,10354,27,687069,1929,39871,,24805,348,3779230,127144,29724119,Asia,40,2871,8,83,0.9,1341
41,Serbia,734816,1484,7177,3,714093,285,13546,26,84483,825,4845253,557068,8697774,Europe,12,1212,2,171,0.3,1557
