Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop
China,80815,22,3177,8,64152,13486,4020,56.1
Italy,17660,2547,1266,250,1439,14955,1328,292.1
Iran,11364,1289,514,85,3529,7321,,135.3
S. Korea,7979,110,71,5,510,7398,93,155.6
Spain,4334,1188,122,36,193,4019,190,92.7
Germany,3481,736,8,2,46,3427,9,41.5
France,2876,,61,,12,2803,129,44.1
USA,1881,184,41,,31,1809,10,5.7
Switzerland,1137,269,9,2,4,1124,,131.4
Norway,930,130,1,,1,928,27,171.5
Sweden,814,127,1,,1,812,2,80.6
Netherlands,804,190,10,5,2,792,1,46.9
Denmark,801,127,,,1,800,2,138.3
UK,798,208,11,1,18,769,20,11.8
Japan,701,10,19,,118,564,29,5.5
Diamond Princess,696,,7,,325,364,32,
Belgium,559,160,3,,1,555,2,48.2
Austria,504,143,1,,6,497,1,56.0
Qatar,262,,,,,262,,90.9
Bahrain,210,13,,,44,166,1,123.4
Singapore,200,13,,,97,103,11,34.2
Australia,199,43,3,,26,170,1,7.8
Malaysia,197,39,,,32,165,4,6.1
Greece,190,73,1,,2,187,2,18.2
Canada,158,16,1,,11,146,1,4.2
Finland,155,46,,,1,154,,28.0
Brazil,151,74,,,,151,2,0.7
Slovenia,141,45,,,,141,4,67.8
Hong Kong,132,1,4,1,77,51,4,17.6
Israel,126,17,,,4,122,2,14.6
Czechia,120,4,,,,120,2,11.2
Iceland,117,,,,,117,,
Portugal,112,34,,,1,111,1,11.0
Kuwait,100,20,,,5,95,4,23.4
Iraq,90,7,8,,24,58,,2.2
UAE,85,,,,20,65,2,8.6
India,82,8,1,,10,71,,0.1
Romania,81,22,,,7,74,1,4.2
San Marino,80,8,5,,2,73,3,
Egypt,80,,2,,27,51,,0.8
Lebanon,77,9,3,,1,73,3,11.3
Thailand,75,5,1,,35,39,1,1.1
Ireland,70,,1,,,69,6,14.2
Indonesia,69,35,4,3,5,60,,0.3
Poland,68,17,1,,,67,3,1.8
Estonia,68,41,,,,68,,51.3
Philippines,64,12,5,,2,57,1,0.6
Saudi Arabia,62,17,,,1,61,,1.8
Taiwan,50,1,1,,20,29,,2.1
Russia,45,11,,,8,37,,0.3
Vietnam,44,,,,16,28,,0.5
Chile,43,10,,,,43,,2.2
Brunei,37,12,,,,37,,
Serbia,35,11,,,,35,1,4.0
Palestine,35,4,,,,35,,6.9
Albania,33,10,1,,,32,,11.5
Argentina,31,,1,,,30,1,0.7
Croatia,31,4,,,1,30,,7.6
Slovakia,30,9,,,,30,,5.5
Peru,28,6,,,,28,,0.8
Panama,27,13,1,,,26,,6.3
Algeria,26,,2,,10,14,,0.6
Luxembourg,26,,,,,26,1,
Georgia,25,,,,,25,1,6.3
South Africa,24,8,,,,24,,0.4
Bulgaria,23,,1,,,22,,3.3
Costa Rica,23,,,,,23,1,4.5
Pakistan,22,1,,,2,20,,0.1
Belarus,21,,,,3,18,,2.2
Ecuador,19,2,,,,19,1,1.1
Oman,19,1,,,9,10,,3.7
Hungary,19,3,,,,19,,2.0
Bosnia and Herzegovina,18,7,,,,18,,5.5
Latvia,17,1,,,1,16,,9.0
Azerbaijan,15,,1,,3,11,,1.5
North Macedonia,14,5,,,1,13,,6.7
Cyprus,14,4,,,,14,,11.6
Tunisia,13,,,,,13,2,1.1
Colombia,13,4,,,,13,,0.3
Mexico,12,,,,4,8,1,0.1
Malta,12,3,,,1,11,,
Macao,10,,,,10,0,,
Senegal,10,,,,2,8,,0.6
Maldives,9,1,,,,9,,
Armenia,8,2,,,,8,,2.7
Jamaica,8,6,,,,8,,2.7
Morocco,7,1,1,,,6,1,0.2
Afghanistan,7,,,,,7,,0.2
Cambodia,7,2,,,1,6,,0.4
Lithuania,6,3,,,,6,,2.2
French Guiana,6,,,,,6,,
Moldova,6,,,,,6,,1.5
Paraguay,6,,,,,6,1,0.8
Dominican Republic,5,,,,,5,,0.5
New Zealand,5,,,,,5,,1.0
Sri Lanka,5,2,,,1,4,,0.2
Runion,5,1,,,,5,,
Turkey,5,4,,,,5,,0.1
Kazakhstan,4,4,,,,4,,0.2
Liechtenstein,4,,,,,4,,
Ukraine,3,,1,1,,2,,0.1
Bangladesh,3,,,,1,2,,
Bolivia,3,,,,,3,,0.3
Channel Islands,3,,,,,3,,
Cuba,3,,,,,3,,0.3
Faeroe Islands,3,1,,,,3,,
French Polynesia,3,2,,,,3,,
Martinique,3,,,,,3,,
Monaco,2,,,,,2,,
Nigeria,2,,,,,2,,
Burkina Faso,2,,,,,2,,0.1
Cameroon,2,,,,,2,,0.1
DRC,2,1,,,,2,,
Ghana,2,,,,,2,,0.1
Honduras,2,,,,,2,,0.2
Saint Martin,2,,,,,2,,
Guyana,1,,1,,,0,,
Sudan,1,1,1,1,,0,,
Andorra,1,,,,,1,,
Jordan,1,,,,1,0,,0.1
Nepal,1,,,,1,0,,
Antigua and Barbuda,1,1,,,,1,,
Bhutan,1,,,,,1,,
Cayman Islands,1,1,,,,1,,
Ivory Coast,1,,,,,1,,
Ethiopia,1,1,,,,1,,
Gabon,1,1,,,,1,,0.4
Gibraltar,1,,,,1,0,,
Guadeloupe,1,1,,,,1,,
Guinea,1,1,,,,1,,0.1
Vatican City,1,,,,,1,,
Kenya,1,1,,,,1,,
Mongolia,1,,,,,1,,0.3
St. Barth,1,,,,,1,,
St. Vincent Grenadines,1,,,,,1,,
Togo,1,,,,,1,,0.1
Trinidad and Tobago,1,,,,,1,,0.7
